template,question,relevant_documents
What changes in {tag} policies have occurred since {year}?,What changes in Interpretability and explainability policies have occurred since 2018?,"document_1553,document_1054,document_1396,document_1383,document_1382,document_1380,document_1737,document_1782,document_1831,document_1802,document_1962,document_1803,document_73,document_201,document_194,document_25,document_76,document_179,document_182,document_178,document_180,document_174,document_173,document_177,document_183,document_170,document_473,document_891,document_906,document_1163,document_36,document_772,document_1376,document_771,document_395,document_1009,document_854,document_1303,document_1297,document_1251,document_1202,document_1287,document_288,document_995,document_1111,document_763,document_280,document_1125,document_1377,document_757,document_50,document_266,document_1385,document_1195"
What changes in {tag} policies have occurred since {year}?,What changes in Interpretability and explainability policies have occurred since 2019?,"document_1553,document_1054,document_1396,document_1383,document_1382,document_1380,document_1737,document_1782,document_1831,document_1802,document_1962,document_1803,document_73,document_201,document_194,document_25,document_76,document_179,document_182,document_178,document_180,document_174,document_173,document_177,document_183,document_170,document_473,document_891,document_906,document_1163,document_36,document_772,document_1376,document_771,document_395,document_1009,document_854,document_1303,document_1297,document_1251,document_1202,document_1287,document_288,document_995,document_1111,document_763,document_280,document_1125,document_1377,document_757,document_50,document_266,document_1385,document_1195"
What changes in {tag} policies have occurred since {year}?,"What changes in Licensing, registration, and certification policies have occurred since 2025?","document_1234,document_554,document_396,document_420,document_852,document_1303"
What changes in {tag} policies have occurred since {year}?,"What changes in Licensing, registration, and certification policies have occurred since 2019?","document_2052,document_1554,document_1558,document_1588,document_1783,document_1802,document_2019,document_168,document_190,document_247,document_169,document_173,document_170,document_176,document_1234,document_554,document_396,document_420,document_852,document_1303,document_763,document_290,document_37,document_1377,document_757,document_266,document_1385,document_1194,document_1195,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Manufacturing and process automation policies have occurred since 2020?,"document_1751,document_1783,document_1099,document_66,document_148,document_231,document_25,document_55,document_77,document_58,document_163,document_64,document_471,document_496"
What changes in {tag} policies have occurred since {year}?,What changes in Manufacturing and process automation policies have occurred since 2017?,"document_1751,document_1783,document_1099,document_66,document_148,document_231,document_302,document_25,document_55,document_77,document_58,document_163,document_64,document_471,document_496"
What changes in {tag} policies have occurred since {year}?,What changes in Manufacturing and process automation policies have occurred since 2024?,"document_1751,document_1783,document_471,document_496"
What changes in {tag} policies have occurred since {year}?,"What changes in Medicine, life sciences and public health policies have occurred since 2017?","document_2151,document_1553,document_1552,document_2097,document_1723,document_1996,document_1974,document_1972,document_1826,document_1382,document_1752,document_1782,document_1783,document_1831,document_1802,document_1803,document_1223,document_1099,document_2,document_78,document_73,document_307,document_392,document_302,document_247,document_25,document_54,document_68,document_75,document_179,document_182,document_178,document_169,document_180,document_174,document_173,document_177,document_183,document_170,document_176,document_768,document_1376,document_771,document_315,document_429,document_593,document_807,document_560,document_1303,document_1251,document_316,document_274,document_995,document_356,document_290,document_1377,document_757,document_1385,document_1387"
What changes in {tag} policies have occurred since {year}?,"What changes in Medicine, life sciences and public health policies have occurred since 2025?","document_2097,document_1996,document_1974,document_1972,document_1826,document_1782,document_1223,document_307,document_315,document_429,document_593,document_807,document_560,document_1303,document_1251,document_316"
What changes in {tag} policies have occurred since {year}?,"What changes in Medicine, life sciences and public health policies have occurred since 2018?","document_2151,document_1553,document_1552,document_2097,document_1723,document_1996,document_1974,document_1972,document_1826,document_1382,document_1752,document_1782,document_1783,document_1831,document_1802,document_1803,document_1223,document_1099,document_2,document_78,document_73,document_307,document_392,document_302,document_247,document_25,document_54,document_68,document_75,document_179,document_182,document_178,document_169,document_180,document_174,document_173,document_177,document_183,document_170,document_176,document_768,document_1376,document_771,document_315,document_429,document_593,document_807,document_560,document_1303,document_1251,document_316,document_274,document_995,document_356,document_290,document_1377,document_757,document_1385,document_1387"
What changes in {tag} policies have occurred since {year}?,What changes in Networking and telecommunications policies have occurred since 2018?,"document_1549,document_1551,document_1560,document_1802,document_66,document_307,document_76,document_36,document_396,document_451,document_453,document_1251,document_1377,document_266"
What changes in {tag} policies have occurred since {year}?,What changes in Networking and telecommunications policies have occurred since 2022?,"document_1549,document_1551,document_1560,document_1802,document_307,document_76,document_36,document_396,document_451,document_453,document_1251,document_1377,document_266"
What changes in {tag} policies have occurred since {year}?,What changes in Networking and telecommunications policies have occurred since 2019?,"document_1549,document_1551,document_1560,document_1802,document_66,document_307,document_76,document_36,document_396,document_451,document_453,document_1251,document_1377,document_266"
What changes in {tag} policies have occurred since {year}?,What changes in New institution policies have occurred since 2019?,"document_1554,document_2097,document_1739,document_1379,document_389,document_1996,document_1829,document_1032,document_1356,document_2039,document_1744,document_1783,document_1802,document_1815,document_2041,document_511,document_1264,document_405,document_2025,document_377,document_1109,document_1,document_72,document_70,document_307,document_244,document_161,document_139,document_23,document_158,document_205,document_192,document_193,document_384,document_12,document_229,document_228,document_13,document_8,document_302,document_212,document_27,document_25,document_61,document_277,document_79,document_303,document_403,document_473,document_850,document_826,document_768,document_1163,document_554,document_395,document_416,document_399,document_414,document_450,document_420,document_471,document_593,document_522,document_914,document_880,document_883,document_865,document_855,document_1222,document_1303,document_326,document_1297,document_1202,document_288,document_316,document_89,document_360,document_765,document_294,document_311,document_299,document_293,document_1377,document_757,document_50,document_766,document_1385,document_1387,document_1194"
What changes in {tag} policies have occurred since {year}?,What changes in New institution policies have occurred since 2020?,"document_1554,document_2097,document_1739,document_1379,document_389,document_1996,document_1829,document_1032,document_1356,document_2039,document_1744,document_1783,document_1802,document_1815,document_2041,document_511,document_1264,document_405,document_2025,document_377,document_1109,document_1,document_72,document_70,document_307,document_244,document_161,document_139,document_23,document_158,document_205,document_192,document_193,document_12,document_229,document_228,document_13,document_8,document_212,document_27,document_25,document_61,document_277,document_79,document_403,document_473,document_850,document_826,document_768,document_1163,document_554,document_395,document_416,document_399,document_414,document_450,document_420,document_471,document_593,document_522,document_914,document_880,document_883,document_865,document_855,document_1222,document_1303,document_326,document_1297,document_1202,document_288,document_316,document_89,document_360,document_765,document_294,document_311,document_299,document_293,document_1377,document_757,document_50,document_766,document_1385,document_1387,document_1194"
What changes in {tag} policies have occurred since {year}?,What changes in Performance requirements policies have occurred since 2019?,"document_1554,document_1553,document_1828,document_637,document_2047,document_1974,document_1970,document_1991,document_1829,document_1356,document_2031,document_2039,document_1383,document_1382,document_1380,document_1737,document_1783,document_1804,document_1962,document_1803,document_2041,document_987,document_207,document_2,document_16,document_73,document_168,document_157,document_153,document_189,document_241,document_192,document_194,document_186,document_227,document_10,document_247,document_68,document_164,document_179,document_182,document_178,document_169,document_180,document_174,document_175,document_173,document_183,document_170,document_176,document_850,document_891,document_1163,document_36,document_772,document_1376,document_771,document_560,document_604,document_1303,document_327,document_288,document_35,document_329,document_995,document_763,document_785,document_284,document_309,document_37,document_280,document_1125,document_1377,document_757,document_766,document_276,document_281"
What changes in {tag} policies have occurred since {year}?,What changes in Performance requirements policies have occurred since 2022?,"document_1554,document_1553,document_1828,document_637,document_2047,document_1974,document_1970,document_1991,document_1829,document_1356,document_2039,document_1383,document_1382,document_1380,document_1737,document_1783,document_1804,document_1962,document_1803,document_2041,document_987,document_207,document_16,document_73,document_168,document_189,document_241,document_192,document_194,document_186,document_227,document_10,document_247,document_164,document_179,document_178,document_169,document_180,document_174,document_175,document_173,document_170,document_176,document_850,document_891,document_1163,document_36,document_772,document_1376,document_771,document_560,document_604,document_1303,document_327,document_288,document_329,document_995,document_763,document_785,document_284,document_309,document_37,document_280,document_1377,document_757,document_766,document_276,document_281"
What changes in {tag} policies have occurred since {year}?,What changes in Pilots and testbeds policies have occurred since 2017?,"document_2052,document_2097,document_1751,document_1379,document_1588,document_1996,document_1032,document_1356,document_1396,document_1801,document_1753,document_1752,document_1815,document_1264,document_1099,document_523,document_1109,document_987,document_4,document_307,document_142,document_139,document_143,document_189,document_205,document_187,document_194,document_193,document_186,document_227,document_5,document_239,document_235,document_25,document_77,document_76,document_163,document_75,document_395,document_416,document_428,document_462,document_855,document_1303,document_1202,document_496,document_89,document_356,document_763,document_1377,document_50,document_1385"
What changes in {tag} policies have occurred since {year}?,What changes in Pilots and testbeds policies have occurred since 2018?,"document_2052,document_2097,document_1751,document_1379,document_1588,document_1996,document_1032,document_1356,document_1396,document_1801,document_1753,document_1752,document_1815,document_1264,document_1099,document_523,document_1109,document_987,document_4,document_307,document_142,document_139,document_143,document_189,document_205,document_187,document_194,document_193,document_186,document_227,document_5,document_239,document_235,document_25,document_77,document_76,document_163,document_75,document_395,document_416,document_428,document_462,document_855,document_1303,document_1202,document_496,document_89,document_356,document_763,document_1377,document_50,document_1385"
What changes in {tag} policies have occurred since {year}?,What changes in Privacy policies have occurred since 2017?,"document_2052,document_1554,document_2151,document_1551,document_1558,document_1553,document_1545,document_2097,document_1379,document_2244,document_1723,document_1806,document_1054,document_1828,document_1996,document_2047,document_1974,document_1972,document_1356,document_1396,document_1781,document_1383,document_1382,document_1378,document_1782,document_1831,document_1802,document_1804,document_1815,document_1962,document_2038,document_1264,document_1099,document_380,document_571,document_1087,document_1109,document_307,document_208,document_201,document_194,document_14,document_25,document_69,document_61,document_277,document_68,document_76,document_181,document_850,document_1198,document_906,document_1293,document_1163,document_36,document_772,document_771,document_395,document_399,document_440,document_437,document_793,document_807,document_560,document_604,document_889,document_854,document_1303,document_1297,document_1202,document_1371,document_89,document_329,document_758,document_995,document_368,document_1111,document_765,document_763,document_1125,document_1377,document_757,document_266,document_1385,document_1387,document_281,document_1194"
What changes in {tag} policies have occurred since {year}?,What changes in Privacy policies have occurred since 2022?,"document_2052,document_1554,document_2151,document_1551,document_1558,document_1553,document_1545,document_2097,document_1379,document_2244,document_1723,document_1806,document_1054,document_1828,document_1996,document_2047,document_1974,document_1972,document_1356,document_1396,document_1781,document_1383,document_1382,document_1378,document_1782,document_1831,document_1802,document_1804,document_1815,document_1962,document_2038,document_1264,document_1099,document_380,document_571,document_1087,document_1109,document_307,document_208,document_201,document_194,document_14,document_277,document_76,document_850,document_1198,document_906,document_1293,document_1163,document_36,document_772,document_771,document_395,document_399,document_440,document_437,document_793,document_807,document_560,document_604,document_889,document_854,document_1303,document_1297,document_1202,document_1371,document_89,document_329,document_758,document_995,document_368,document_765,document_763,document_1377,document_757,document_266,document_1385,document_1387,document_281,document_1194"
What changes in {tag} policies have occurred since {year}?,What changes in Reliability policies have occurred since 2018?,"document_2425,document_2052,document_1551,document_1553,document_1748,document_1379,document_1723,document_1054,document_1828,document_637,document_2047,document_1970,document_1678,document_1972,document_1032,document_1356,document_1396,document_1781,document_2040,document_1383,document_1382,document_1380,document_1782,document_1831,document_1802,document_1962,document_1803,document_2019,document_1099,document_1053,document_571,document_1087,document_1109,document_987,document_73,document_307,document_148,document_220,document_201,document_194,document_235,document_231,document_8,document_216,document_25,document_65,document_76,document_179,document_182,document_178,document_169,document_180,document_174,document_173,document_177,document_183,document_170,document_176,document_1198,document_906,document_768,document_1163,document_772,document_394,document_1376,document_771,document_396,document_395,document_416,document_420,document_437,document_462,document_460,document_467,document_517,document_592,document_854,document_1222,document_1303,document_1280,document_1297,document_288,document_89,document_758,document_995,document_1111,document_763,document_280,document_1377,document_757,document_50,document_1385,document_1387,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Reliability policies have occurred since 2024?,"document_2425,document_1551,document_1553,document_1748,document_1379,document_1723,document_1828,document_637,document_2047,document_1970,document_1678,document_1972,document_1032,document_1356,document_1396,document_1781,document_2040,document_1782,document_1831,document_1802,document_1962,document_1803,document_571,document_1109,document_987,document_307,document_1198,document_906,document_768,document_1163,document_394,document_1376,document_771,document_396,document_395,document_416,document_420,document_437,document_462,document_460,document_467,document_517,document_592,document_854,document_1222,document_1303,document_1280,document_1297,document_288,document_280,document_1377,document_757,document_1385,document_1387"
What changes in {tag} policies have occurred since {year}?,What changes in Reliability policies have occurred since 2022?,"document_2425,document_2052,document_1551,document_1553,document_1748,document_1379,document_1723,document_1054,document_1828,document_637,document_2047,document_1970,document_1678,document_1972,document_1032,document_1356,document_1396,document_1781,document_2040,document_1383,document_1382,document_1380,document_1782,document_1831,document_1802,document_1962,document_1803,document_2019,document_1099,document_1053,document_571,document_1087,document_1109,document_987,document_73,document_307,document_201,document_194,document_235,document_231,document_8,document_76,document_179,document_178,document_169,document_180,document_174,document_173,document_177,document_170,document_176,document_1198,document_906,document_768,document_1163,document_772,document_394,document_1376,document_771,document_396,document_395,document_416,document_420,document_437,document_462,document_460,document_467,document_517,document_592,document_854,document_1222,document_1303,document_1280,document_1297,document_288,document_89,document_758,document_995,document_763,document_280,document_1377,document_757,document_50,document_1385,document_1387,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Reliability: Robustness policies have occurred since 2022?,"document_1748,document_1970,document_1396,document_1382,document_1802,document_1962,document_1803,document_1099,document_1053,document_1109,document_987,document_307,document_194,document_906,document_768,document_772,document_394,document_771,document_416,document_420,document_854,document_1222,document_1297,document_89,document_995,document_763,document_1377,document_757,document_50,document_1385,document_1387,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Reliability: Robustness policies have occurred since 2017?,"document_1748,document_1970,document_1396,document_1382,document_1802,document_1962,document_1803,document_1099,document_1053,document_1109,document_987,document_307,document_194,document_25,document_906,document_768,document_772,document_394,document_771,document_416,document_420,document_854,document_1222,document_1297,document_89,document_995,document_1111,document_763,document_1377,document_757,document_50,document_1385,document_1387,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Safety policies have occurred since 2018?,"document_2052,document_1554,document_1555,document_1553,document_2097,document_1746,document_1379,document_2244,document_1723,document_1828,document_2096,document_1996,document_2047,document_1974,document_1970,document_1678,document_1203,document_1032,document_1356,document_1997,document_1396,document_1801,document_1781,document_2040,document_1383,document_1382,document_1380,document_1763,document_1782,document_1831,document_1802,document_1804,document_1815,document_1803,document_2038,document_2041,document_1099,document_1053,document_1109,document_987,document_60,document_73,document_307,document_198,document_194,document_237,document_235,document_215,document_218,document_25,document_69,document_54,document_179,document_182,document_178,document_169,document_180,document_174,document_183,document_170,document_473,document_1198,document_906,document_768,document_1293,document_1163,document_767,document_36,document_772,document_1376,document_771,document_395,document_397,document_442,document_433,document_437,document_436,document_467,document_592,document_807,document_560,document_914,document_604,document_883,document_865,document_855,document_854,document_1222,document_1303,document_1280,document_1202,document_275,document_89,document_329,document_758,document_995,document_368,document_360,document_1111,document_765,document_763,document_785,document_290,document_1125,document_1377,document_757,document_50,document_766,document_1385,document_1387,document_1194,document_1195,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Safety policies have occurred since 2023?,"document_2052,document_1554,document_1555,document_1553,document_2097,document_1746,document_1379,document_2244,document_1723,document_1828,document_2096,document_1996,document_2047,document_1974,document_1970,document_1678,document_1203,document_1032,document_1356,document_1997,document_1396,document_1801,document_1781,document_2040,document_1383,document_1382,document_1380,document_1763,document_1782,document_1831,document_1802,document_1804,document_1815,document_1803,document_2038,document_2041,document_1099,document_1053,document_1109,document_987,document_73,document_307,document_198,document_194,document_169,document_170,document_473,document_1198,document_906,document_768,document_1293,document_1163,document_772,document_1376,document_771,document_395,document_397,document_442,document_433,document_437,document_436,document_467,document_592,document_807,document_560,document_914,document_604,document_883,document_865,document_855,document_854,document_1222,document_1303,document_1280,document_1202,document_275,document_89,document_329,document_758,document_368,document_360,document_765,document_763,document_785,document_290,document_1377,document_757,document_50,document_766,document_1385,document_1387,document_1194,document_1195,document_1196"
What changes in {tag} policies have occurred since {year}?,"What changes in Sales, retail, and customer relations policies have occurred since 2017?","document_1974,document_1378,document_1099,document_2,document_307,document_175,document_1371,document_995,document_308,document_266"
What changes in {tag} policies have occurred since {year}?,"What changes in Sales, retail, and customer relations policies have occurred since 2021?","document_1974,document_1378,document_1099,document_2,document_307,document_175,document_1371,document_995,document_308,document_266"
What changes in {tag} policies have occurred since {year}?,"What changes in Sales, retail, and customer relations policies have occurred since 2024?","document_1974,document_1378,document_307,document_1371,document_308"
What changes in {tag} policies have occurred since {year}?,What changes in Security policies have occurred since 2022?,"document_2425,document_2052,document_1554,document_1551,document_1545,document_1740,document_2097,document_1739,document_1742,document_1379,document_1723,document_1806,document_1054,document_1828,document_1996,document_2047,document_1974,document_1970,document_1678,document_1203,document_1826,document_1032,document_1356,document_1997,document_1396,document_1801,document_1781,document_2040,document_2039,document_1383,document_1382,document_1744,document_1752,document_1756,document_1743,document_1745,document_1763,document_1780,document_1782,document_1783,document_1831,document_1802,document_1962,document_1803,document_1805,document_2019,document_1099,document_1053,document_405,document_1087,document_1109,document_987,document_6,document_307,document_208,document_201,document_192,document_194,document_193,document_5,document_235,document_231,document_8,document_28,document_277,document_164,document_76,document_165,document_75,document_169,document_173,document_170,document_1234,document_850,document_1198,document_906,document_768,document_1163,document_36,document_772,document_771,document_396,document_395,document_397,document_399,document_401,document_433,document_440,document_436,document_462,document_597,document_807,document_560,document_604,document_879,document_852,document_855,document_889,document_1222,document_1303,document_326,document_1297,document_1202,document_89,document_329,document_758,document_995,document_368,document_765,document_763,document_785,document_1377,document_757,document_266,document_766,document_1385,document_1387,document_1194,document_1195"
What changes in {tag} policies have occurred since {year}?,What changes in Security policies have occurred since 2017?,"document_2425,document_2052,document_1554,document_1551,document_1545,document_1740,document_2097,document_1739,document_1742,document_1379,document_1723,document_1806,document_1054,document_1828,document_1996,document_2047,document_1974,document_1970,document_1678,document_1203,document_1826,document_1032,document_1356,document_1997,document_1396,document_1801,document_1781,document_2040,document_2039,document_1383,document_1382,document_1744,document_1752,document_1756,document_1743,document_1745,document_1763,document_1780,document_1782,document_1783,document_1831,document_1802,document_1962,document_1803,document_1805,document_2019,document_1099,document_1053,document_405,document_1087,document_1109,document_987,document_3,document_6,document_70,document_60,document_66,document_307,document_208,document_304,document_148,document_139,document_147,document_201,document_192,document_194,document_193,document_5,document_235,document_231,document_8,document_216,document_218,document_25,document_28,document_69,document_277,document_68,document_164,document_76,document_56,document_165,document_75,document_182,document_169,document_173,document_170,document_181,document_1234,document_850,document_1198,document_906,document_768,document_1163,document_767,document_36,document_772,document_771,document_396,document_395,document_397,document_399,document_401,document_433,document_440,document_436,document_462,document_597,document_807,document_560,document_604,document_879,document_852,document_855,document_889,document_1222,document_1303,document_326,document_1297,document_1202,document_89,document_329,document_758,document_995,document_368,document_1111,document_765,document_763,document_785,document_1125,document_1377,document_757,document_266,document_766,document_1385,document_1387,document_1194,document_1195"
What changes in {tag} policies have occurred since {year}?,What changes in Security policies have occurred since 2020?,"document_2425,document_2052,document_1554,document_1551,document_1545,document_1740,document_2097,document_1739,document_1742,document_1379,document_1723,document_1806,document_1054,document_1828,document_1996,document_2047,document_1974,document_1970,document_1678,document_1203,document_1826,document_1032,document_1356,document_1997,document_1396,document_1801,document_1781,document_2040,document_2039,document_1383,document_1382,document_1744,document_1752,document_1756,document_1743,document_1745,document_1763,document_1780,document_1782,document_1783,document_1831,document_1802,document_1962,document_1803,document_1805,document_2019,document_1099,document_1053,document_405,document_1087,document_1109,document_987,document_3,document_6,document_70,document_60,document_66,document_307,document_208,document_148,document_139,document_147,document_201,document_192,document_194,document_193,document_5,document_235,document_231,document_8,document_216,document_218,document_25,document_28,document_69,document_277,document_68,document_164,document_76,document_56,document_165,document_75,document_182,document_169,document_173,document_170,document_181,document_1234,document_850,document_1198,document_906,document_768,document_1163,document_36,document_772,document_771,document_396,document_395,document_397,document_399,document_401,document_433,document_440,document_436,document_462,document_597,document_807,document_560,document_604,document_879,document_852,document_855,document_889,document_1222,document_1303,document_326,document_1297,document_1202,document_89,document_329,document_758,document_995,document_368,document_765,document_763,document_785,document_1125,document_1377,document_757,document_266,document_766,document_1385,document_1387,document_1194,document_1195"
What changes in {tag} policies have occurred since {year}?,What changes in Security: Cybersecurity policies have occurred since 2017?,"document_2425,document_2052,document_1551,document_1742,document_1723,document_1970,document_1678,document_1032,document_1356,document_1997,document_1801,document_2040,document_2039,document_1417,document_1383,document_1382,document_1752,document_1743,document_1745,document_1763,document_1783,document_1802,document_1962,document_1805,document_1099,document_1053,document_1087,document_987,document_3,document_6,document_70,document_66,document_307,document_208,document_201,document_194,document_193,document_186,document_235,document_216,document_277,document_68,document_164,document_165,document_182,document_169,document_173,document_183,document_170,document_181,document_850,document_1198,document_906,document_768,document_1163,document_36,document_396,document_397,document_399,document_420,document_433,document_436,document_462,document_484,document_852,document_855,document_1303,document_1320,document_89,document_329,document_758,document_1111,document_765,document_763,document_785,document_1377,document_757,document_50,document_266,document_766,document_1385,document_1195"
What changes in {tag} policies have occurred since {year}?,What changes in Security: Cybersecurity policies have occurred since 2018?,"document_2425,document_2052,document_1551,document_1742,document_1723,document_1970,document_1678,document_1032,document_1356,document_1997,document_1801,document_2040,document_2039,document_1417,document_1383,document_1382,document_1752,document_1743,document_1745,document_1763,document_1783,document_1802,document_1962,document_1805,document_1099,document_1053,document_1087,document_987,document_3,document_6,document_70,document_66,document_307,document_208,document_201,document_194,document_193,document_186,document_235,document_216,document_277,document_68,document_164,document_165,document_182,document_169,document_173,document_183,document_170,document_181,document_850,document_1198,document_906,document_768,document_1163,document_36,document_396,document_397,document_399,document_420,document_433,document_436,document_462,document_484,document_852,document_855,document_1303,document_1320,document_89,document_329,document_758,document_1111,document_765,document_763,document_785,document_1377,document_757,document_50,document_266,document_766,document_1385,document_1195"
What changes in {tag} policies have occurred since {year}?,What changes in Security: Cybersecurity policies have occurred since 2024?,"document_2425,document_1551,document_1742,document_1723,document_1970,document_1678,document_1032,document_1356,document_1997,document_1801,document_2040,document_2039,document_1417,document_1752,document_1743,document_1745,document_1763,document_1783,document_1802,document_1962,document_1805,document_987,document_307,document_850,document_1198,document_906,document_768,document_1163,document_396,document_397,document_399,document_420,document_433,document_436,document_462,document_484,document_852,document_855,document_1303,document_1320,document_329,document_785,document_1377,document_757,document_1385,document_1195"
What changes in {tag} policies have occurred since {year}?,What changes in Security: Dissemination policies have occurred since 2016?,"document_1554,document_1545,document_1806,document_1054,document_1828,document_1974,document_1970,document_1032,document_1997,document_1801,document_2040,document_1383,document_1382,document_1783,document_1831,document_1802,document_1962,document_2019,document_987,document_307,document_148,document_201,document_192,document_194,document_25,document_68,document_906,document_768,document_1163,document_772,document_597,document_560,document_855,document_329,document_995,document_765,document_763,document_785,document_1377,document_266,document_766"
What changes in {tag} policies have occurred since {year}?,What changes in Security: Dissemination policies have occurred since 2025?,"document_1828,document_1974,document_1970,document_1032,document_1997,document_1801,document_2040,document_1962,document_987,document_307,document_906,document_597,document_560,document_855"
What changes in {tag} policies have occurred since {year}?,What changes in Subsidies policies have occurred since 2021?,"document_660,document_1228,document_1243,document_1223,document_77,document_1244,document_854,document_89,document_1377"
What changes in {tag} policies have occurred since {year}?,What changes in Subsidies policies have occurred since 2020?,"document_660,document_1228,document_1243,document_1223,document_77,document_1244,document_854,document_89,document_1377"
What changes in {tag} policies have occurred since {year}?,What changes in Subsidies policies have occurred since 2017?,"document_660,document_1228,document_1243,document_1223,document_77,document_1244,document_854,document_89,document_1377"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering policies have occurred since 2018?,"document_2425,document_1558,document_2097,document_1742,document_1379,document_1723,document_1806,document_1828,document_637,document_1970,document_1678,document_1991,document_1826,document_1356,document_1997,document_2040,document_2039,document_1382,document_1380,document_1378,document_1783,document_1831,document_1802,document_1804,document_1803,document_1805,document_1099,document_1087,document_456,document_987,document_826,document_906,document_768,document_1163,document_36,document_771,document_855,document_1303,document_1287,document_89,document_995,document_368,document_367,document_301,document_280,document_1377,document_757,document_266,document_766,document_1385,document_1387,document_281,document_1194,document_1195,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering policies have occurred since 2021?,"document_2425,document_1558,document_2097,document_1742,document_1379,document_1723,document_1806,document_1828,document_637,document_1970,document_1678,document_1991,document_1826,document_1356,document_1997,document_2040,document_2039,document_1382,document_1380,document_1378,document_1783,document_1831,document_1802,document_1804,document_1803,document_1805,document_1099,document_1087,document_456,document_987,document_826,document_906,document_768,document_1163,document_36,document_771,document_855,document_1303,document_1287,document_89,document_995,document_368,document_367,document_301,document_280,document_1377,document_757,document_266,document_766,document_1385,document_1387,document_281,document_1194,document_1195,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on domain of application policies have occurred since 2018?,"document_1558,document_2097,document_1379,document_1723,document_637,document_1970,document_1678,document_1826,document_1356,document_2040,document_1380,document_1378,document_1831,document_1802,document_1803,document_1805,document_1099,document_987,document_826,document_768,document_1163,document_36,document_1303,document_995,document_1377,document_757,document_266,document_766,document_1385,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on domain of application policies have occurred since 2020?,"document_1558,document_2097,document_1379,document_1723,document_637,document_1970,document_1678,document_1826,document_1356,document_2040,document_1380,document_1378,document_1831,document_1802,document_1803,document_1805,document_1099,document_987,document_826,document_768,document_1163,document_36,document_1303,document_995,document_1377,document_757,document_266,document_766,document_1385,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on domain of application policies have occurred since 2019?,"document_1558,document_2097,document_1379,document_1723,document_637,document_1970,document_1678,document_1826,document_1356,document_2040,document_1380,document_1378,document_1831,document_1802,document_1803,document_1805,document_1099,document_987,document_826,document_768,document_1163,document_36,document_1303,document_995,document_1377,document_757,document_266,document_766,document_1385,document_1196"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on generality policies have occurred since 2019?,"document_1826,document_1356,document_1802,document_987,document_995,document_1377,document_757,document_766,document_1385"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on impact policies have occurred since 2020?,"document_1379,document_1806,document_1828,document_637,document_1970,document_1991,document_1997,document_2040,document_1380,document_1378,document_1783,document_1802,document_1803,document_1099,document_987,document_826,document_906,document_768,document_1163,document_771,document_855,document_1303,document_995,document_367,document_1377,document_757,document_266,document_766,document_1385,document_1387,document_1194"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on impact policies have occurred since 2022?,"document_1379,document_1806,document_1828,document_637,document_1970,document_1991,document_1997,document_2040,document_1380,document_1378,document_1783,document_1802,document_1803,document_1099,document_987,document_826,document_906,document_768,document_1163,document_771,document_855,document_1303,document_995,document_367,document_1377,document_757,document_266,document_766,document_1385,document_1387,document_1194"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on impact policies have occurred since 2025?,"document_1828,document_637,document_1970,document_1991,document_1997,document_2040,document_987,document_826,document_906,document_855,document_1303"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on inputs policies have occurred since 2025?,"document_637,document_1356,document_987,document_1303"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on inputs policies have occurred since 2019?,"document_1723,document_637,document_1678,document_1356,document_1802,document_1805,document_987,document_1163,document_1303,document_995,document_1377,document_757,document_266,document_1385,document_1195"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on inputs policies have occurred since 2018?,"document_1723,document_637,document_1678,document_1356,document_1802,document_1805,document_987,document_1163,document_1303,document_995,document_1377,document_757,document_266,document_1385,document_1195"
What changes in {tag} policies have occurred since {year}?,What changes in Tiering: Tiering based on planning ability policies have occurred since 2021?,"document_1970,document_2040,document_987,document_89,document_280,document_757,document_766,document_281"
